"draw_no","draw_date","num1","num2","num3","num4","num5","num6","bonus","first_winner_count","first_prize_amount","first_total_amount","second_winner_count","second_prize_amount","third_winner_count","third_prize_amount","total_sales_amount"
"268","2008-01-19","3","10","19","24","32","45","12","7","1350954515","0","35","45031818","1362","1157206","41213802000"
"269","2008-01-26","5","18","20","36","42","43","32","5","1961399940","0","22","74295453","1014","1611933","41357619000"
"270","2008-02-02","5","9","12","20","21","26","27","5","1927830060","0","32","50203908","1242","1293499","41845351000"
"271","2008-02-09","3","8","9","27","29","40","36","6","1565918150","0","28","55925649","1256","1246751","40879633000"
"272","2008-02-16","7","9","12","27","39","43","28","9","1104622800","0","39","42485493","1370","1209442","43310674000"
"273","2008-02-23","1","8","24","31","34","44","6","3","3339543100","0","21","79512931","1096","1523515","42816211000"
"274","2008-03-01","13","14","15","26","35","39","25","4","2505085575","0","37","45136678","1254","1331784","42631711000"
"275","2008-03-08","14","19","20","35","38","40","26","1","10044066900","0","19","88105850","991","1689215","42329813000"
"276","2008-03-15","4","15","21","33","39","41","25","3","3312569000","0","31","53428533","1161","1426602","42567610000"
"277","2008-03-22","10","12","13","15","25","29","20","3","3272627800","0","31","52784320","1104","1482169","41868708000"
"278","2008-03-29","3","11","37","39","41","43","13","3","3186530000","0","27","59009815","1089","1463054","41088180000"
"279","2008-04-05","7","16","31","36","37","38","11","5","1914205320","0","27","59080412","1088","1466150","41130542000"
"280","2008-04-12","10","11","23","24","36","37","35","7","1355258529","0","27","58560554","1145","1380904","40673999000"
"281","2008-04-19","1","3","4","6","14","41","12","6","1554683200","0","37","42018465","1491","1042712","40800514000"
"282","2008-04-26","2","5","10","18","31","32","30","7","1322052643","0","32","48199836","1523","1012735","41051175000"
"283","2008-05-03","6","8","18","31","38","45","42","3","3137224600","0","24","65358846","1061","1478429","40133316000"
"284","2008-05-10","2","7","15","24","30","45","28","3","3117640300","0","14","111344297","955","1632273","39773403000"
"285","2008-05-17","13","33","37","40","41","45","2","3","3164370100","0","26","60853272","1017","1555738","40364871000"
"286","2008-05-24","1","15","19","40","42","44","17","3","3236566300","0","27","59936413","1033","1566586","40944483000"
"287","2008-05-31","6","12","24","27","35","37","41","7","1328657100","0","37","41894594","1330","1165489","40623489000"
"288","2008-06-07","1","12","17","28","35","41","10","4","2357261550","0","24","65479488","1056","1488171","39970134000"
"289","2008-06-14","3","14","33","37","38","42","10","0","0","9181683900","24","63761694","1019","1501748","39406643000"
"290","2008-06-21","8","13","18","32","39","45","7","13","2149214424","0","61","51251650","2297","1361059","80362302000"
"291","2008-06-28","3","7","8","18","20","42","45","7","1450585200","0","39","43393575","1227","1379258","44143418000"
"292","2008-07-05","17","18","31","32","33","34","10","14","720373950","0","37","45428988","1688","995778","43394631000"
"293","2008-07-12","1","9","17","21","29","33","24","6","1656764400","0","21","78893543","1154","1435672","42399708000"
"294","2008-07-19","6","10","17","30","37","38","40","4","2406504975","9626019900","26","61705256","1137","1411027","41563813000"
"295","2008-07-26","1","4","12","16","18","38","8","0","0","9823300500","26","62969875","1013","1616207","42248135000"
"296","2008-08-02","3","8","15","27","30","45","44","8","3066088275","24528706200","53","46243415","2066","1186303","63377899000"
"297","2008-08-09","6","11","19","20","28","32","34","2","5056668750","10113337500","28","60198438","1275","1322005","43641475000"
"298","2008-08-16","5","9","27","29","37","40","19","1","9909778500","9909778500","40","41290744","1353","1220717","43151675000"
"299","2008-08-23","1","3","20","25","36","45","24","7","1483772529","10386407700","29","59691999","1118","1548362","44463909000"
"300","2008-08-30","7","9","10","12","26","38","39","12","836092425","10033109100","34","49181908","1416","1180922","44465047000"
"301","2008-09-06","7","11","13","33","37","43","26","7","1447385015","10131695100","47","35927997","1271","1328573","44377177000"
"302","2008-09-13","13","19","20","32","38","42","4","2","5472167250","10944334500","44","41455813","1134","1608515","46382605000"
"303","2008-09-20","2","14","17","30","38","45","43","6","1672749000","10036494000","29","57681000","1158","1444516","42841760000"
"304","2008-09-27","4","10","16","26","33","41","38","6","1661646150","9969876900","37","44909356","1426","1165250","43158653000"
"305","2008-10-04","7","8","18","21","23","39","9","5","2008210140","10041050700","34","49220837","1377","1215330","43960659000"
"306","2008-10-11","4","18","23","30","34","41","19","5","2102669520","10513347600","23","76183679","1219","1437428","44421462000"
"307","2008-10-18","5","15","21","23","25","45","12","4","2587643250","10350573000","28","61610554","1177","1465672","43880990000"
"308","2008-10-25","14","15","17","19","37","45","40","1","10232872800","10232872800","27","63165882","978","1743844","43339416000"
"309","2008-11-01","1","2","5","11","18","36","22","11","901622946","9917852400","25","66119016","1390","1189191","44157528000"
"310","2008-11-08","1","5","19","28","34","41","16","8","1296713325","10373706600","29","59619004","1086","1592036","43718082000"
"311","2008-11-15","4","12","24","27","28","32","10","8","1237691063","9901528500","43","38378018","1363","1210752","43209215000"
"312","2008-11-22","2","3","5","6","12","20","25","15","629017820","9435267300","58","27112838","2064","761892","42255391000"
"313","2008-11-29","9","17","34","35","43","45","2","6","1715422800","10292536800","26","65977800","1120","1531628","43672096000"
"314","2008-12-06","15","17","19","34","38","41","2","6","1660512200","9963073200","24","69188009","1067","1556244","42328094000"
"315","2008-12-13","1","13","33","35","43","45","23","8","1308728625","10469829000","32","54530360","1063","1641554","44339180000"
"316","2008-12-20","10","11","21","27","31","39","43","6","1673586400","10041518400","29","57709876","1398","1197130","44073768000"
"317","2008-12-27","3","10","11","22","36","39","8","4","2576258550","10305034200","25","68700228","1132","1517232","44135114000"
"318","2009-01-03","2","17","19","20","34","45","21","9","1207436600","10866929400","28","64684104","1381","1311481","46663728000"
"319","2009-01-10","5","8","22","28","33","42","37","5","2135659380","10678296900","26","68450622","1151","1546235","45435183000"
"320","2009-01-17","16","19","23","25","41","45","3","2","5513067900","11026135800","25","73507572","1081","1699991","46659886000"
"321","2009-01-24","12","18","20","21","25","34","42","6","1959136100","11754816600","35","55975318","1276","1535374","50617982000"
"322","2009-01-31","9","18","29","32","38","43","20","6","1904544700","11427268200","29","65673956","1465","1300031","48948294000"
"323","2009-02-07","10","14","15","32","36","42","3","8","1461025388","11688203100","27","72149402","1175","1657902","49209477000"
"324","2009-02-14","2","4","21","25","33","36","17","6","1865130350","11190782100","40","46628259","1228","1518836","47988317000"
"325","2009-02-21","7","17","20","32","44","45","33","6","1806122450","10836734700","33","54730984","1258","1435710","46636979000"
"326","2009-02-28","16","23","25","33","36","39","40","6","1832134550","10992807300","31","59101115","1335","1372386","47224551000"
"327","2009-03-07","6","12","13","17","32","44","24","12","882674750","10592097000","39","45265372","1242","1421377","45791560000"
"328","2009-03-14","1","6","9","16","17","28","24","6","1819795900","10918775400","30","60659864","1380","1318693","47316988000"
"329","2009-03-21","9","17","19","30","35","42","4","6","1830391200","10982347200","33","55466400","1215","1506495","47198504000"
"330","2009-03-28","3","4","16","17","19","20","23","9","1162280200","10460521800","32","54481885","1431","1218324","45859496000"
"331","2009-04-04","4","9","14","26","31","44","39","5","2165902620","10829513100","45","40109308","1365","1322285","46641467000"
"332","2009-04-11","16","17","34","36","42","45","3","8","1359448388","10875587100","37","48989132","1098","1650818","46042557000"
"333","2009-04-18","5","14","27","30","39","43","35","7","1550987143","10856910000","36","50263473","1365","1325631","46019070000"
"334","2009-04-25","13","15","21","29","39","43","33","7","1523002972","10661020800","31","57317317","1055","1684206","44439656000"
"335","2009-05-02","5","9","16","23","26","45","21","5","2037492480","10187462400","28","60639658","1222","1389453","43977478000"
"336","2009-05-09","3","5","20","34","35","44","16","6","1685632650","10113795900","30","56187755","989","1704381","43069333000"
"337","2009-05-16","1","5","14","18","32","37","4","8","1257500513","10060004100","33","50808102","1194","1404245","43432467000"
"338","2009-05-23","2","13","34","38","42","45","16","3","3383431000","10150293000","39","43377321","1123","1506426","43136020000"
"339","2009-05-30","6","8","14","21","30","37","45","9","1096778334","9871005000","32","51411485","1107","1486150","42035640000"
"340","2009-06-06","18","24","26","29","34","38","32","7","1439393186","10075752300","35","47979773","1125","1492705","42892121000"
"341","2009-06-13","1","8","19","34","39","43","41","7","1497207772","10480454400","33","52931588","1235","1414367","44722448000"
"342","2009-06-20","1","13","14","33","34","43","25","3","3454095800","10362287400","29","59553376","1177","1467331","43782188000"
"343","2009-06-27","1","10","17","29","31","43","15","6","1717153000","10302918000","29","59212173","1096","1566746","43656460000"
"344","2009-07-04","1","2","15","28","34","45","38","7","1467106543","10269745800","23","74418448","1106","1547581","43838886000"
"345","2009-07-11","15","20","23","29","39","42","2","2","5203577550","10407155100","38","45645418","1028","1687282","43530937000"
"346","2009-07-18","5","13","14","22","44","45","33","5","2017727340","10088636700","26","64670749","1146","1467225","42862389000"
"347","2009-07-25","3","8","13","27","32","42","10","7","1456624286","10196370000","38","44720922","1399","1214722","44219740000"
"348","2009-08-01","3","14","17","20","24","31","34","3","3299994000","9899982000","37","44594514","1222","1350244","42786310000"
"349","2009-08-08","5","13","14","20","24","25","36","3","3353209000","10059627000","37","45313636","1168","1435450","43433870000"
"350","2009-08-15","1","8","18","24","29","33","35","9","1101052467","9909472200","23","71807770","1197","1379765","42681094000"
"351","2009-08-22","5","25","27","29","34","36","33","4","2583357150","10333428600","29","59387521","1137","1514722","43947492000"
"352","2009-08-29","5","16","17","20","26","41","24","6","1732858250","10397149500","29","59753733","1166","1486157","44719545000"
"353","2009-09-05","11","16","19","22","29","36","26","2","5290838250","10581676500","29","60814233","1042","1692527","44552925000"
"354","2009-09-12","14","19","36","43","44","45","1","5","2124464340","10622321700","34","52070205","1014","1745944","44709689000"
"355","2009-09-19","5","8","29","30","35","44","38","5","2145424800","10727124000","24","74493917","1094","1634236","45017050000"
"356","2009-09-26","2","8","14","25","29","45","24","9","1157185267","10414667400","37","46912917","1263","1374330","44684958000"
"357","2009-10-03","10","14","18","21","36","37","5","2","5313394350","10626788700","27","65597462","1116","1587036","45232409000"
"358","2009-10-10","1","9","10","12","21","40","37","3","3472654900","10417964700","44","39461988","1382","1256388","45651829000"
"359","2009-10-17","1","10","19","20","24","40","23","8","1286712600","10293700800","37","46368022","1656","1036001","45288256000"
"360","2009-10-24","4","16","23","25","35","40","27","3","3566716200","10700148600","33","54041155","1208","1476290","45719032000"
"361","2009-10-31","5","10","16","24","27","35","33","7","1473115115","10311805800","34","50548068","1463","1174733","45062676000"
"362","2009-11-07","2","3","22","27","30","40","29","6","1729424650","10376547900","26","66516333","1173","1474361","44336363000"
"363","2009-11-14","11","12","14","21","32","38","6","4","2615910600","10463642400","33","52846679","1216","1434162","44863948000"
"364","2009-11-21","2","5","7","14","16","40","4","4","2531914800","10127659200","37","45620087","1259","1340702","44192004000"
"365","2009-11-28","5","15","21","25","26","30","31","1","10697716800","10697716800","35","50941509","1181","1509698","45806066000"
"366","2009-12-05","5","12","19","26","27","44","38","2","5351553900","10703107800","39","45739777","1617","1103186","45962166000"
"367","2009-12-12","3","22","25","29","32","44","19","7","1581736586","11072156100","37","49874578","1049","1759161","46459307000"
"368","2009-12-19","11","21","24","30","39","45","26","7","1465825115","10260775800","38","45003403","1195","1431071","43746046000"
"369","2009-12-26","17","20","35","36","41","43","21","6","1842177750","11053066500","31","59425089","1157","1592203","46716275000"
"370","2010-01-02","16","18","24","42","44","45","17","7","1678941943","11752593600","32","61211425","1168","1677026","49762652000"
"371","2010-01-09","7","9","15","26","27","42","18","7","1524130543","10668913800","29","61315597","1201","1480560","45843166000"
"372","2010-01-16","8","11","14","16","18","21","13","9","1192593200","10733338800","37","48348373","1368","1307668","46167066000"
"373","2010-01-23","15","26","37","42","43","45","9","4","2791801125","11167204500","29","64179337","1117","1666250","47095065000"
"374","2010-01-30","11","13","15","17","25","34","26","2","5528717850","11057435700","27","68255776","1398","1318245","48081319000"
"375","2010-02-06","4","8","19","25","27","45","7","7","1581284058","11068988400","42","43924558","1279","1442402","47864938000"
"376","2010-02-13","1","11","13","24","28","40","7","6","1956915800","11741494800","51","38370899","1411","1386900","50657096000"
"377","2010-02-20","6","22","29","37","43","45","23","3","3912085400","11736256200","22","88911032","1198","1632757","49218434000"
"378","2010-02-27","5","22","29","31","34","39","43","5","2317698240","11588491200","30","64380507","1124","1718341","48866964000"
"379","2010-03-06","6","10","22","31","35","40","19","7","1598999786","11192998500","71","26274645","1342","1390090","47537685000"
"380","2010-03-13","1","2","8","17","26","37","27","4","2684274825","10737099300","42","42607537","1464","1222348","47164371000"
"381","2010-03-20","1","5","10","12","16","20","11","19","565738895","10749039900","62","28895267","1981","904345","47943113000"
"382","2010-03-27","10","15","22","24","27","42","19","6","1846674900","11080049400","32","57708591","1212","1523660","47401288000"
"383","2010-04-03","4","15","28","33","37","40","25","3","3596522100","10789566300","28","64223609","1251","1437459","46067051000"
"384","2010-04-10","11","22","24","32","36","38","7","3","3658734200","10976202600","41","44618710","1215","1505652","46888942000"
"385","2010-04-17","7","12","19","21","29","32","9","7","1542032700","10794228900","36","49973282","1235","1456712","46243483000"
"386","2010-04-24","4","7","10","19","31","40","26","10","1042953330","10429533300","59","29461959","1683","1032832","45907331000"
"387","2010-05-01","1","26","31","34","40","43","20","4","2675533500","10702134000","26","68603424","1177","1515454","45459960000"
"388","2010-05-08","1","8","9","17","29","32","45","4","2545543875","10182175500","30","56567642","1269","1337297","44308705000"
"389","2010-05-15","7","16","18","20","23","26","3","5","2119027020","10595135100","36","49051552","1253","1409303","45534027000"
"390","2010-05-22","16","17","28","37","39","40","15","1","10373997900","10373997900","37","46729721","1087","1590617","44189673000"
"391","2010-05-29","10","11","18","22","28","39","30","1","10508749800","10508749800","32","54733072","1337","1309992","45161516000"
"392","2010-06-05","1","3","7","8","24","42","43","6","1713528700","10281172200","30","57117624","1504","1139315","45528684000"
"393","2010-06-12","9","16","28","40","41","43","21","8","1362003975","10896031800","35","51885866","1072","1694035","45989116000"
"394","2010-06-19","1","13","20","22","25","28","15","1","10654349100","10654349100","33","53809844","1204","1474855","45192337000"
"395","2010-06-26","11","15","20","26","31","35","7","7","1534635000","10742445000","42","42628750","1420","1260851","46192580000"
"396","2010-07-03","18","20","31","34","40","45","30","2","5296622400","10593244800","34","51927671","1202","1468836","45463736000"
"397","2010-07-10","12","13","17","22","25","33","8","3","3499519700","10498559100","31","56443867","1366","1280937","45890007000"
"398","2010-07-17","10","15","20","23","42","44","7","4","2680625550","10722502200","31","57647862","1112","1607090","45427304000"
"399","2010-07-24","1","2","9","17","19","42","20","8","1276854975","10214839800","40","42561833","1462","1164483","45551786000"
"400","2010-07-31","9","21","27","34","41","43","2","4","2669834325","10679337300","30","59329652","1254","1419370","45379731000"
"401","2010-08-07","6","12","18","31","38","43","9","9","1168214792","10513933125","29","60424904","1355","1293227","43491965000"
"402","2010-08-14","5","9","15","19","22","36","32","4","2662206188","10648824750","41","43287906","1271","1396385","45002946000"
"403","2010-08-21","10","14","22","24","28","37","26","5","2122396875","10611984375","43","41131723","1321","1338883","44911335000"
"404","2010-08-28","5","20","21","24","33","40","36","3","3566659375","10699978125","26","68589604","1273","1400888","45389825000"
"405","2010-09-04","1","2","10","25","26","44","4","3","3543878000","10631634000","35","50626829","1283","1381091","45220904000"
"406","2010-09-11","7","12","21","24","27","36","45","5","2156142450","10780712250","33","54448042","1442","1246038","46062206000"
"407","2010-09-18","6","7","13","16","24","25","1","7","1649707286","11547951000","27","71283649","1268","1517870","48429586000"
"408","2010-09-25","9","20","21","22","30","37","16","5","2235375825","11176879125","33","56448885","1244","1497439","46406711000"
"409","2010-10-02","6","9","21","31","32","40","38","4","2896989750","11587959000","36","53647959","1320","1463127","47924584000"
"410","2010-10-09","1","3","18","32","40","41","16","9","1249335709","11244021375","37","50648745","1303","1438223","47467817000"
"411","2010-10-16","11","14","22","35","37","39","5","12","953227563","11438730750","36","52957087","1318","1446476","47259122000"
"412","2010-10-23","4","7","39","41","42","45","40","7","1656199822","11593398750","34","56830387","1223","1579913","47066180000"
"413","2010-10-30","2","9","15","23","34","40","3","4","2814673500","11258694000","36","52123584","1256","1493989","46925724000"
"414","2010-11-06","2","14","15","22","23","44","43","1","11703832500","11703832500","35","55732536","1220","1598885","46910990000"
"415","2010-11-13","7","17","20","26","30","40","24","8","1334182407","10673459250","35","50825997","1587","1120927","46746048000"
"416","2010-11-20","5","6","8","11","22","26","44","10","1072037100","10720371000","32","55835266","1501","1190359","46854806000"
"417","2010-11-27","4","5","14","20","22","43","44","4","2818329938","11273319750","34","55261372","1181","1590929","45968256000"
"418","2010-12-04","11","13","15","26","28","34","31","8","1435649766","11485198125","46","41613037","1316","1454560","47058055000"
"419","2010-12-11","2","11","13","14","28","30","7","3","3796490750","11389472250","33","57522588","1194","1589821","46508296000"
"420","2010-12-18","4","9","10","29","31","34","27","8","1424856375","11398851000","35","54280243","1187","1600513","47345476000"
"421","2010-12-25","6","11","26","27","28","44","30","5","2321144325","11605721625","36","53730193","1203","1607887","47752021000"
"422","2011-01-01","8","15","19","21","34","44","12","6","2205251375","13231508250","21","105011971","1293","1705531","52730602000"
"423","2011-01-08","1","17","27","28","29","40","5","3","3896153875","11688461625","47","41448446","1432","1360389","49668311000"
"424","2011-01-15","10","11","26","31","34","44","30","10","1109480813","11094808125","51","36257543","1686","1096759","48728445000"
"425","2011-01-22","8","10","14","27","33","38","3","8","1534833000","12278664000","41","49913269","1297","1577829","50459694000"
"426","2011-01-29","4","17","18","27","39","43","19","4","3057233625","12228934500","63","32351679","1463","1393135","51466592000"
"427","2011-02-05","6","7","15","24","28","30","21","1","12571445625","12571445625","33","63492150","1415","1480736","52511055000"
"428","2011-02-12","12","16","19","22","37","40","8","9","1437683209","12939148875","30","71884161","1568","1375335","54685007000"
"429","2011-02-19","3","23","28","34","39","42","16","9","1485904709","13373142375","37","60239381","1389","1604649","53993833000"
"430","2011-02-26","1","3","16","18","30","34","44","8","1611763219","12894105750","45","47755948","1449","1483104","53194872000"
"431","2011-03-05","18","22","25","31","38","45","6","10","1268434013","12684340125","43","49164110","1337","1581195","51661947000"
"432","2011-03-12","2","3","5","11","27","39","33","5","2299427550","11497137750","48","39920618","1747","1096846","52348574000"
"433","2011-03-19","19","23","29","33","35","43","27","11","1182294410","13005238500","41","52866824","1278","1696041","52396606000"
"434","2011-03-26","3","13","20","24","33","37","35","8","1480060266","11840482125","37","53335506","1867","1056998","51579439000"
"435","2011-04-02","8","16","26","30","38","45","42","10","1287550013","12875500125","31","69223119","1426","1504851","52341267000"
"436","2011-04-09","9","14","20","22","33","34","28","8","1512266579","12098132625","44","45826260","1425","1414987","50869017000"
"437","2011-04-16","11","16","29","38","41","44","21","6","2096245438","12577472625","33","63522590","1286","1630051","50798417000"
"438","2011-04-23","6","12","20","26","29","38","45","9","1377142167","12394279500","41","50383250","1303","1585352","50370042000"
"439","2011-04-30","17","20","30","31","37","40","25","6","1900077375","11400464250","33","57578103","1437","1322253","49680708000"
"440","2011-05-07","10","22","28","34","36","44","2","6","1995873000","11975238000","41","48679830","1495","1335033","49810778000"
"441","2011-05-14","1","23","28","30","34","35","9","4","3170417063","12681668250","42","50324081","1127","1875432","50272122000"
"442","2011-05-21","25","27","29","36","38","40","41","9","1413413042","12720717375","27","78522947","1271","1668073","51219943000"
"443","2011-05-28","4","6","10","19","20","44","14","9","1327597584","11948378250","41","48570644","1668","1193883","51236072000"
"444","2011-06-04","11","13","23","35","43","45","17","3","4154188625","12462565875","26","79888243","1270","1635508","50673529000"
"445","2011-06-11","13","20","21","30","39","45","32","7","1791683036","12541781250","28","74653460","1183","1766946","50053080000"
"446","2011-06-18","1","11","12","14","26","35","6","3","4051247625","12153742875","41","49405459","1375","1473181","50595241000"
"447","2011-06-25","2","7","8","9","17","33","34","4","2657941125","10631764500","31","57160025","1721","1029612","49555042000"
"448","2011-07-02","3","7","13","27","40","41","36","3","4026212750","12078638250","35","57517325","1422","1415687","51341262000"
"449","2011-07-09","3","10","20","26","35","43","36","3","4059715250","12179145750","39","52047632","1295","1567458","50214272000"
"450","2011-07-16","6","14","19","21","23","31","13","6","1990391625","11942349750","34","58540931","1349","1475458","49732036000"
"451","2011-07-23","12","15","20","24","30","38","29","13","882138952","11467806375","31","61654873","1612","1185671","49861167000"
"452","2011-07-30","8","10","18","30","32","34","27","9","1276902000","11492118000","48","39903188","1298","1475619","48456758000"
"453","2011-08-06","12","24","33","38","40","42","30","5","2262732375","11313661875","36","52378065","1412","1335419","48055125000"
"454","2011-08-13","13","25","27","34","38","41","10","7","1609125590","11263879125","43","43658447","1397","1343818","48389211000"
"455","2011-08-20","4","19","20","26","30","35","24","7","1635711483","11449980375","32","59635315","1448","1317908","48769851000"
"456","2011-08-27","1","7","12","18","23","27","44","7","1598505054","11189535375","39","47818528","1616","1154037","49420681000"
"457","2011-09-03","8","10","18","23","27","40","33","10","1159902825","11599028250","47","41131306","1506","1283647","49679052000"
"458","2011-09-10","4","9","10","32","36","40","18","8","1608812625","12870501000","52","41251606","1433","1496918","53778256000"
"459","2011-09-17","4","6","10","14","25","40","12","7","1655842233","11590895625","46","41995999","1532","1260977","49890095000"
"460","2011-09-24","8","11","28","30","43","45","41","4","3180895782","12723583125","30","70686573","1307","1622493","51917635000"
"461","2011-10-01","11","18","26","31","37","40","43","6","1948674875","11692049250","32","60896090","1717","1134931","50624588000"
"462","2011-10-08","3","20","24","32","37","45","4","8","1483559297","11868474375","39","50719976","1394","1418996","49325555000"
"463","2011-10-15","23","29","31","33","34","44","40","0","0","12140599125","37","54687384","1254","1613584","49205151000"
"464","2011-10-22","6","12","15","34","42","44","4","13","3355721106","43624374375","78","67273025","3145","1668457","126772274000"
"465","2011-10-29","1","8","11","13","22","38","31","7","1923662893","13465640250","46","48788552","1733","1295023","57793294000"
"466","2011-11-05","4","10","13","23","32","44","20","9","1530313459","13772821125","55","41735822","1746","1314703","58314753000"
"467","2011-11-12","2","12","14","17","24","40","39","9","1435441084","12918969750","33","65247322","1811","1188936","57383906000"
"468","2011-11-19","8","13","15","28","37","43","17","9","1527197167","13744774500","33","69418054","1457","1572269","55598552000"
"469","2011-11-26","4","21","22","34","37","38","33","4","3330131250","13320525000","33","67275379","1277","1738519","53364940000"
"470","2011-12-03","10","16","20","39","41","42","27","3","4333330625","12999991875","27","80246864","1390","1558753","53912965000"
"471","2011-12-10","6","13","29","37","39","41","43","7","1939332858","13575330000","30","75418500","1219","1856075","53492340000"
"472","2011-12-17","16","25","26","31","36","43","44","7","1809656090","12667592625","23","91794150","1352","1561587","51929207000"
"473","2011-12-24","8","13","20","22","23","36","34","4","3250418063","13001672250","36","60192928","1313","1650378","52867236000"
"474","2011-12-31","4","13","18","31","33","45","43","15","936690800","14050362000","48","48785980","1738","1347369","58978482000"
"475","2012-01-07","1","9","14","16","21","29","3","8","1693923047","13551384375","33","68441336","1486","1519896","56043275000"
"476","2012-01-14","9","12","13","15","37","38","27","4","3439851469","13759405875","34","67448069","1294","1772206","55591819000"
"477","2012-01-21","14","25","29","32","33","45","37","8","1919011829","15352094625","33","77535832","1474","1735877","60801409000"
"478","2012-01-28","18","29","30","37","39","43","8","14","987224759","13821146626","35","65814984","1285","1792627","54975901000"
"479","2012-02-04","8","23","25","27","35","44","24","6","2233046500","13398279000","34","65677839","1389","1607665","54848834000"
"480","2012-02-11","3","5","10","17","30","31","16","4","2996742282","11986969125","50","39956564","1983","1007478","55415681000"
"481","2012-02-18","3","4","23","29","40","41","20","3","4639355750","13918067250","34","68225820","1294","1792642","55642616000"
"482","2012-02-25","1","10","16","24","25","35","43","7","1897921179","13285448250","30","73808046","1639","1350971","56201452000"
"483","2012-03-03","12","15","19","22","28","34","5","5","2567196675","12835983375","53","40364728","1886","1134322","55582659000"
"484","2012-03-10","1","3","27","28","32","45","11","6","2305303063","13831818375","32","72040721","1343","1716533","55885979000"
"485","2012-03-17","17","22","26","27","36","39","20","9","1501474917","13513274250","33","68248860","1406","1601859","55692878000"
"486","2012-03-24","1","2","23","25","38","40","43","13","1008634125","13112243625","29","75357722","1501","1455946","54540823000"
"487","2012-03-31","4","8","25","27","37","41","21","8","1638830766","13110646125","46","47502342","1587","1376880","55276503000"
"488","2012-04-07","2","8","17","30","31","38","25","10","1330393575","13303935750","33","67191595","1345","1648567","54213092000"
"489","2012-04-14","2","4","8","15","20","27","11","6","2106360625","12638163750","52","40506936","1538","1369546","53558490000"
"490","2012-04-21","2","7","26","29","40","43","42","7","1860234161","13021639125","29","74837007","1357","1599318","52590121000"
"491","2012-04-28","8","17","35","36","39","42","4","4","3304634438","13218537750","31","71067408","1360","1619919","53413874000"
"492","2012-05-05","22","27","31","35","37","40","42","5","2493013800","12465069000","40","51937788","1434","1448753","51693454000"
"493","2012-05-12","20","22","26","33","36","37","25","9","1451120334","13060083000","27","80617797","1342","1621968","53231838000"
"494","2012-05-19","5","7","8","15","30","43","22","12","1054588407","12655060875","40","52729421","1539","1370486","53321589000"
"495","2012-05-26","4","13","22","27","34","44","6","6","2111645000","12669870000","44","47991932","1568","1346713","53645960000"
"496","2012-06-02","4","13","20","29","36","41","39","4","3285932250","13143729000","46","47622207","1389","1577122","52915804000"
"497","2012-06-09","19","20","23","24","43","44","13","6","2222817813","13336906875","30","74093928","1148","1936253","52411585000"
"498","2012-06-16","13","14","24","32","39","41","3","4","3244503094","12978012375","35","61800059","1334","1621441","52851253000"
"499","2012-06-23","5","20","23","27","35","40","43","3","4070480250","12211440750","46","44244351","1514","1344281","52767632000"
"500","2012-06-30","3","4","12","20","24","34","41","9","1351072375","12159651375","68","29803068","1831","1106832","54012267000"
"501","2012-07-07","1","4","10","17","31","42","2","4","3025200094","12100800375","61","33062297","1639","1230507","52717711000"
"502","2012-07-14","6","22","28","32","34","40","26","6","2201458125","13208748750","31","71014779","1482","1485465","54000640000"
"503","2012-07-21","1","5","27","30","34","36","40","7","1853634911","12975444375","42","51489859","1292","1673819","53572205000"
"504","2012-07-28","6","14","22","26","43","44","31","9","1443236959","12989132625","29","74650188","1294","1672995","51787037000"
"505","2012-08-04","7","20","22","25","38","40","44","6","1917955188","11507731125","38","50472505","1440","1331914","49103223000"
"506","2012-08-11","6","9","11","22","24","30","31","3","4073333875","12220001625","33","61717180","1588","1282536","52363311000"
"507","2012-08-18","12","13","32","33","40","41","4","9","1416438875","12747949875","29","73264080","1473","1442403","53638773000"
"508","2012-08-25","5","27","31","34","35","43","37","8","1599557860","12796462875","31","68798188","1596","1336306","54010391000"
"509","2012-09-01","12","25","29","35","42","43","24","5","2689076100","13445380500","34","65908728","1228","1824835","53390358000"
"510","2012-09-08","12","29","32","33","39","40","42","5","2644158150","13220790750","25","88138605","1319","1670558","53964992000"
"511","2012-09-15","3","7","14","23","26","42","24","6","2165579250","12993475500","37","58529169","1524","1420984","53970308000"
"512","2012-09-22","4","5","9","13","26","27","1","13","940094452","12221227875","52","39170603","1682","1210982","54017801000"
"513","2012-09-29","5","8","21","23","27","33","12","3","4589624750","13768874250","54","42496526","1626","1411324","58317548000"
"514","2012-10-06","1","15","20","26","35","42","9","3","4451055500","13353166500","36","61820216","1362","1634015","54452404000"
"515","2012-10-13","2","11","12","15","23","37","8","1","13200466875","13200466875","35","62859367","1450","1517296","55258935000"
"516","2012-10-20","2","8","23","41","43","44","30","11","1294190182","14236092000","32","74146313","1338","1773305","56385762000"
"517","2012-10-27","1","9","12","28","36","41","10","5","2659057725","13295288625","40","55397036","1493","1484181","54468223000"
"518","2012-11-03","14","23","30","32","34","38","6","6","2263804125","13582824750","34","66582475","1349","1678135","55321566000"
"519","2012-11-10","6","8","13","16","30","43","3","7","1950601393","13654209750","32","71115676","1357","1677010","55614206000"
"520","2012-11-17","4","22","27","28","38","40","1","6","2167205438","13003232625","37","58573120","1627","1332026","55003797000"
"521","2012-11-24","3","7","18","29","32","36","19","8","1693420922","13547367375","53","42601785","1612","1400679","56185373000"
